school_id,cn_name,en_name,tags,introduction,apply_requirements,objectives,language_requirements,curriculum,success_cases,country
香港大学,高级药剂学硕士,Master of Advanced Pharmacy,"社科,药学,医学院",专业方向: 药学 入学时间: 9月 项目时长: 1年 项目学费: 158700港币/年,具有学士学位或同等学历 申请临床实践/社区卫生方向：需要药剂学背景，需要提供香港药剂业及毒药管理局注册证书、香港药剂业及毒药管理局年度执业证书（每年提交）、其他海外药剂注册机构签发的注册证书（如适用） 申请制药医学/常规方向：需要药剂学、药学、药理学、生理学、物理科学、生物化学、生物技术、化学、生物医学/生物科学、遗传学、医学、护理或其他相关学科背景,随着医疗保健的迅速发展，药学专业人员的角色正变得更加多样化。随着复杂的新疗法的发展，如先进的治疗产品，可以预见，新的跨学科角色将出现，需要具备药物知识、医疗保健系统、药物开发等概念的熟练候选人。香港大学高级药剂学硕士课程旨在使学生能够在药物管理中发挥重要作用，并支持医疗保健系统和患者不断变化的需求。,{{ per_lang.name }},"循证实践 (Evidence-Based Practice) 老年与门诊护理 (Geriatric & Ambulatory Care) 肿瘤学 (Oncology) 神经病学、精神病学、免疫学与风湿病学 (Neurology, Psychiatry, Immunology & Rheumatology) 消化病学、肝病学与传染病 (Gastroenterology, Hepatology & Infectious Diseases) 肾脏学、液体和电解质、儿科与怀孕 (Nephrology, Fluids & Electrolytes, Paediatrics & Pregnancy) 心脏代谢疾病、呼吸与重症监护 (Cardiometabolic Disease, Respiratory & Critical Care) 基层医疗与公共卫生 (Primary Care and Public Health) 健康信息学与大数据 (Health Informatics and Big Data) 药物作用原理 (Principles of Drug Actions) 医药产业概论 (Introduction to Pharmaceutical Industry) 法规事务 - 香港及其他地区 (Regulatory Affairs - Hong Kong & Beyond) 抗体药物 (Therapeutic Antibodies) 临床试验管理 (Clinical Trials Management) 高级治疗产品 (Advanced Therapy Products) 高级药物输送与药物开发 (Advanced Drug Delivery and Drug Development) 综合药学实践 (Integrated Pharmacy Practice) 实习 (Practicum) 研究项目 (Research Project)",,hongkong,香港大学_高级药剂学硕士.json
香港岭南大学,市场营销与国际商务理学硕士,MSc Marketing and International Business,"商科,市场营销,商学院",专业方向: 市场营销 入学时间: 9月 项目时长: 1年 项目学费: 248000港币/年,持有大学认可的高等教育机构颁发的相关学士学位*；或已获得同等学历；或能够提供令人满意的学术和专业成就证明。学术和专业资格的等效性将根据具体情况予以考虑 具备一定工作经验的申请者优先考虑 *具有学士学位并在大学阶段学习过经济学、信息系统管理和统计学的申请者被视为商业相关学位持有者，具有非商业第一学位的申请者以及没有市场营销或经济学课程学习背景的申请者，必须在硕士课程开始之前完成入学前的衔接课程,香港岭南大市场营销与国际商务理学硕士课程旨在通过高质量的教学、专业的研究、广泛的企业合作来加强学生在市场以及国际贸易领域的技能：1.引导学生在当代战略市场和国际贸易事物中（尤其在中国）具备批判性意识。2.使学生能够把市场和国际贸易的理论和技巧应用到在大陆和香港的贸易商中存在的问题和机会中。3.培养出未来的商业领军人物，使他们获得完备的知识和用来应对动态的市场和复杂的国际商业环境所必须具备的社会责任感。,{{ per_lang.name }},消费者行为学 (Consumer Behaviour) 应用市场营销研究 (Applied Marketing Research) 国际营销管理 (International Marketing Management) 国际贸易和投资 (International Trade and Investment ) 服务营销与客户关系管理 (Services Marketing and Customer Relationship Management) 咨询项目 (Consulting Project) 创新和新产品发展 (Innovation and New Product Development ) 整合营销传播 (Integrated Marketing Communications) 企业间营销 (Business to Business Marketing ) 销售和零售管理 (Sales and Retail Management ) 电子商务和社交媒体营销 (E-Commerce and Social Media Marketing) 金融服务营销 (Financial Services Marketing) 全球化和金融市场的发展 (Globalization and Financial Market Development) 战略管理 (Strategic Management) 跨国财务管理 (Multinational Financial Management),,hongkong,香港岭南大学_市场营销与国际商务理学硕士.json
香港理工大学,城市信息学及智慧城市理学硕士,MSc Urban Informatics and Smart Cities,"工科,地球科学,建筑及环境学院",专业方向: 地球科学 入学时间: 9月 项目时长: 1年 项目学费: 240000港币/年,具有认可的学士学位或同等学历，需要工程、科学、技术背景,香港理工大学城市信息学及智慧城市理学硕士项目为学生提供信息学、大数据和相关技术，来应对城市中的挑战和其他问题。香港理工大学城市信息学及智慧城市理学硕士项目重点三个关键领域：理论和领域知识、支撑城市信息学的智慧城市的技术、城市信息学和智慧城市解决方案的实践,{{ per_lang.name }},智慧城市：技术与解决方案 (Smart Cities: Technologies and Solutions) 城市科学与系统 (Urban Science & Systems) 城市信息学 (Urban Informatics) 城市大数据 (Urban Big Data) 地理信息系统原理 (Principles of Geographic Information Systems) 城市规划与城市设计 (Urban Planning and Urban Design) 论文/项目 (Dissertation/Project),,hongkong,香港理工大学_城市信息学及智慧城市理学硕士.json
香港理工大学,设施管理理学硕士,MSc Facility Management,"工科,土木工程,建筑及环境学院",专业方向: 土木工程 入学时间: 9月 项目时长: 1年 项目学费: 202500港币/年,"具有荣誉学士学位或同等学历，需要建筑学、室内设计、建造、建筑测量、物业管理、物业/设施管理、楼宇服务工程、商业背景；或 具备专业资格以及与建筑行业或物业/设施管理相关的专业经验，例如HKIE, HKIS, HKIA, CIBSE, CIOB, RICS, CIH, HKIFM的正式会员资格 在设施管理相关领域具备丰富经验但缺乏正式学历的申请者可通过面试和/或对其经验进行审查，学校在考虑这些申请者时会决定其经验是否可视为等同于认可大学颁发的荣誉学位",设施管理于过去数十年急速发展。最初，设施管理只在英美流行，但近来在欧洲、澳洲、东亚以及东南亚亦日益普及。设施管理学教育及培训的发展，起初源于在职专业人士对深造课程的需求，包括屋宇设备工程学，以至物业管理及空间规划的专业人员。设施管理建基于管理学，并需对机构的核心人物性质及需求有明确的了解。 设施经理在支持与任务计划实行时所担当的角色日益受到重视。为提高效率，设施经理必须具备广博的知识，以便有效地管理屋宇、政策及工作人员，并执行适当的管理程序。 因此，香港理工大学设施管理理学硕士学位课程应运而生。 香港理工大学设施管理理学硕士学位课程获香港设施管理学会(HKIFM)、国际设施管理协会(IFMA)，英国特许屋宇设备工程师学会(CIBSE)及英国皇家特许测量师学会 (RICS)认可。,{{ per_lang.name }},设施管理：专业实践 (Facility Management: Professional Practice) 策略性设施规划及资产管理 (Strategic Facility Planning & Asset Management ) 研究项目 (Research Project ) 设备管理经济学 (Economics for Facility Management) 物业资产维修管理 (Maintenance Management of Built Assets ) 设施支援服务管理 (Facilities Support Services Management) 设施管理的综合技术 (Technology Integration for Facility Management) 持续性及建筑环境 (Sustainability and the Built Environment ) 设施管理的法律范畴 (Legal Aspects for Facility Management),,hongkong,香港理工大学_设施管理理学硕士.json
香港理工大学,资讯科技理学硕士,MSc Information Technology,"工科,计算机,工程学院",专业方向: 计算机 入学时间: 9月 项目时长: 1.5年 项目学费: 145000港币/年,具有学士学位，需要计算/计算机科学、数学、信息系统、工程或其他科学学科背景 具有其他学科学士学位以及至少5年重要IT相关工作经验的申请者也将被考虑,香港理工大学资讯科技理学硕士学位课程旨在培养数学、信息系统、工程或其他科学专业的毕业生成为IT行业的专业人士，该课程为学生继续终身学习和发展提供了知识、支持和指导，旨在培养学生具备基础、高级和专业的IT/计算知识，掌握实践技能并具备一定的批判能力，具有整体性与分析性思维能力，并且能够运用IT/计算知识解决问题，能够以团队或者个人的方式开发系统与应用，同时，该课程将会培养学生的职业道德，社会责任感和全方面能力，使其能在毕业后，为香港、为祖国的发展做出贡献，使学生始终能接触最新、最先进的技术，学会创新，能够坚持终生自主学习。,{{ per_lang.name }},"数据结构与数据库系统 (Data Structures and Database Systems) 软件工程与开发 (Software Engineering and Development) 互联网基础设施与协议 (Internet Infrastructure and Protocols) 人工智能概念 (Artificial Intelligence Concepts) 高级数据分析 (Advanced Data Analytics) 自然语言处理 (Natural Language Processing) 人机交互 (Human Computer Interaction) 多媒体计算、系统与应用 (Multimedia Computing, Systems and Applications) 计算机视觉与图像处理 (Computer Vision and Image Processing) 机器学习与数据分析 (Machine Learning and Data Analytics) 金融计算 (Financial Computing) 网络与互联网安全 (Cyber and Internet Security) 分布式账本技术、加密货币与电子支付 (Distributed Ledger Technology, Cryptocurrency and E-Payment) 大数据计算 (Big Data Computing) 优化与应用 (Optimization and Applications)",,hongkong,香港理工大学_资讯科技理学硕士.json
香港中文大学,临床心理学社会科学硕士,MSocSc Clinical Psychology,"社科,心理学,社会科学学院",专业方向: 心理学 入学时间: 9月 项目时长: 2年 项目学费: 178000港币/年,需要提供B等级证明，申请者应持有心理学专业学士学位或相当于心理学专业学士学位的资格证书，具有香港心理学会研究生会员资格，具备粤语口语和中文书面知识（课程以粤语和英语授课），偏好具备变态心理学、神经心理学、心理咨询、心理治疗本科学习经历的申请者,香港中文大学心理学系一直致力追求卓越的学术和重视与社会的联系。除了提供优良的学习环境，我们亦着重学生的全面发展及专业培训。心理学的研究使我们与国际科学界建立联系，让心理学超越其西方起源，并建立专业服务的基础。 香港中文大学临床心理学社会科学硕士课程由心理学系与精神病学系联合提供。中大临床心理学社会科学硕士课程基于科学家-实践者训练模型，提供学术与临床训练，使毕业生能够在香港作为临床心理学家执业。 香港中文大学心理学系着重教学实践及为学生提供全面的基础，很多毕业生在海外研究院都取得卓越的成就。部分毕业生回流香港从事研究或教学工作，亦有部分继续留在海外发展事业，每一位毕业生也发挥了华人在心理学范畴上的影响力。近年亦有不少硕士及博士毕业生投身香港及中国大陆的社会福利及教学事业。心理学系将致力延续培育人材的领导地位，为香港、中国、以及世界培育更多精英。,{{ per_lang.name }},研究方法（一） (Seminar in Research Methods I) 专业问题探讨 (Ethics and Professional Issues) 心理病理学 (Psychopathology) 认知评估 (Intelligence Assessment) 性格评估 (Assessment of Psychopathology and Personality) 行为治疗法 (Intervention Seminar I: Behavioural and Cognitive Therapies) 临床研讨（一） (Clinical Seminar I) 临床心理学研究议题 (Research Issues in Clinical Psychology) 个别研习 (Independent Study) 个人治疗方法 (Intervention Seminar II: Working with Children and Adolescents) 临床实习（一） (Clinical Placement I) 临床研讨（二） (Adult Psychiatry/Psychology ) 成人精神病学/心理学实习 (Adult Psychiatry/Psychology) 儿童与青少年精神病学/心理学实习 (Child and Adolescent Psychiatry/Psychology) 长期病患或残障例如心理残疾实习 (Service for people with chronic mental illnesses or impairments such as intellectual disability),,hongkong,香港中文大学_临床心理学社会科学硕士.json
香港浸会大学,创意经济市场营销理学硕士,MSc Marketing for the Creative Economy,"商科,市场营销,商学院",专业方向: 市场营销 入学时间: 9月 项目时长: 1年 项目学费: 298000港币/年,具有认可大学或类似机构颁发的学士学位或同等学历,香港浸会大学创意经济市场营销理学硕士项目旨在： 从国际角度来看，在创意经济的文化和创意景观、过程和系统中，牢牢地将学生集中在当前的学术和专业话语中； 使学生能够建立、管理和评估适合创意经济的营销和商业战略； 培养学生有效地将其想法传达给对文化和创意业务有不同理解程度的观众的能力； 在区域和全球创意经济中培养具有国际视野的优秀领导者。,{{ per_lang.name }},战略营销管理 (Strategic Marketing Management) 品牌发展与赞助 (Brand Development and Sponsorship) 数字营销策略 (Digital Marketing Strategies) 创意经济中的创业 (Entreprenurship in the Creative Economies) 创意经济中的当代市场营销问题研讨会   (Seminars in Contemporary Marketing Issues in Creative Economies) 创造性服务学习项目 (Creative Service-Learning Project ) 两周海外实地考察 (2-week Overseas Field Trip) 批判性参与:情境中的创造性实践   (Critically Engaged: Creative Practices in Context) 视觉艺术研究方法 (Research Methodology for the Visual Arts) 商业会计 (Business Accounting) 国际环境下对社会负责的企业  (Socially Responsible Entrepreneurship in an International Context) 服务营销管理 (Services Marketing Management) 艺术与公众:诠释与展示   (Arts & the Public: Interpretation & Presentation) 视觉艺术理论与批判 (Visual Arts Theory & Criticism),,hongkong,香港浸会大学_创意经济市场营销理学硕士.json
香港大学,财富管理硕士,Master of Wealth Management,"商科,金融,商学院",专业方向: 金融 入学时间: 9月 项目时长: 1年 项目学费: 462000港币/年,具有学士学位或同等学历，不强制要求提供GMAT/GRE，但具备良好的GMAT/GRE成绩的申请者将被优先考虑,香港大学财富管理硕士项目旨在提供全面的课程，为学生提供成功从事财富管理职业所需的基本知识、实践技能和行业专业知识，课程旨在为学生提供在该地区独特的金融环境中脱颖而出所需的专业知识和技能，充分利用香港作为全球金融中心、通往大湾区和中国大陆的门户以及财富增长中心的地位，为学生在财富管理行业的成功职业生涯做好准备。除了基于研究和实践的前沿设计课程外，该课程还认识到财富管理领域的实用性，该课程结合了实践教授，兼职教授和客座讲师，向学生介绍最新的行业技能和实践，这些行业专业人士在弥合学术学习和实际应用之间的差距方面发挥着至关重要的作用。,{{ per_lang.name }},"创业与公司金融 (Entrepreneurial and Corporate Finance) 财富管理基础 (Foundations of Wealth Management) 投资分析与投资组合管理 (Investment Analysis and Portfolio Management) 全球宏观经济周期中的财富管理 (Wealth Management Over Global Macroeconomic Cycles) 沟通与说服 (Communication and Persuasion) 客户关系管理 (Client Relationship Management) 财富管理中的金融工具与策略 (Financial Instruments and Strategies in Wealth Management) 财富管理中的法律、法规与合规 (Law, Regulations, and Compliance in Wealth Management) 财富规划、信托与家族企业 (Wealth Planning, Trusts, and Family Businesses) 跨境投资与融资 (Cross-Border Investments and Financing) 财富管理项目 (Wealth Management Project) 财富管理的当前话题 (Current Topics in Wealth Management) 在中国首次公开募股 (Initial Public Offering in China) 国际学习实地考察 (International Study Field Trip) 税务筹划 (Tax Planning)",,hongkong,香港大学_财富管理硕士.json
香港浸会大学,当代中国研究社会科学硕士,MSocSc Contemporary China Studies,"社科,国际关系,人文与社会科学学院",专业方向: 国际关系 入学时间: 9月 项目时长: 1年 项目学费: 170000港币/年,具有认可大学颁发的的学士学位或同等学历，优先考虑具备社会科学和/或人文科学背景的申请者,香港浸会大学当代中国研究社会科学硕士项目旨在让学生从政治、历史、经济、地理和社会学角度批判性地了解当代中国；通过多学科方法提高学生对中国历史、经济、地理、政治和社会因素之间复杂关系的认识；加深学生对香港、中国其他地区和世界未来关系变化过程的了解。,{{ per_lang.name }},高级中国研究 (Advanced China Studies) 经济发展与增长 (Economic Development and Growth) 中国经济制度 (Economic Institutions in China) 中国财政学与货币经济学 (Public Finance and Monetary Economics in China) 中国经济发展与改革 (China’s Economic Development & Reform) 世纪中国和亚洲 (China and Asia in the Twentieth Century) 当代中国政治思想 (Contemporary Chinese Political Thought) 中国华南研究 (South China Studies) 当代中国社会网络 (Social Networks in the Contemporary Chinese Society) 中国社会人口统计学 (Chinese Social Demography) 中国妇女问题研究 (Women in China) 中国资源与环境管理 (Resource & Environmental Management in China) 中国城市和区域发展 (Urban & Regional Development of China) 中国能源发展 (Energy Development in China) 中国农村和农业发展 (Rural and Agricultural Development in China),,hongkong,香港浸会大学_当代中国研究社会科学硕士.json
香港中文大学,教育学硕士（教育心理）,Master of Education (Educational Psychology),"社科,教育,教育学院",专业方向: 教育 入学时间: 9月 项目时长: 1年 项目学费: 165000港币/年,毕业于受认可大学并获得学士学位，需要提供B等级证明，或在高等教育机构完成学习课程并获得相当于学士学位的专业或类似资格 持有教育学研究生文凭或同等学历和/或具备可接受的相关工作经验,香港中文大学教育硕士学位课程旨在提升资深教育工作者的探究和执行能力。课程设计让学员选课更具弹性，适合有志以更广阔视野理解教育专业，或希望深入探究专修范围的人士修读。香港中文大学教育硕士的综合课程，可让学生更灵活选修科目。另一方面，学员亦可按个别兴趣，选读本院四个学系开设的专修课程，以巩固知识基础，有利于学生深入研习各专修范围。,{{ per_lang.name }},教师的心理发展 (Psychological Development of Teachers) 个人及群性发展的新近议题 (Contemporary Issues in Students' Personal and Social Development) 资优教育与才能发展：理念与方向 (Gifted Education and Talent Development: Concepts and Approaches) 人类能力面面观 (Human Abilities in Perspective) 如何提高学习兴趣及动机 (Motivating the Academically Unmotivated) 阅读心理学 (Psychology of Reading) 教育心理学专题 (Special Topics in Educational Psychology) 心理辅导理论初探 (Introduction to Counselling Theory) 教育有特殊需要的学生 (Educating Students with Special Needs) 育儿心理学 (The Psychology of Parenting) 研习与研究报告：教育心理学 (Project and Research Report: Educational Psychology) 心理教育测验的理论和实践 (Practical Issues in Psycho-educational Testing and Assessment) 人类发展研究的新视角 (New Perspectives in Human Development) 创意心理学与教 (The Psychology of Creativity and Its Pedagogy) 学习科学及其在教学上的启示 (Learning Sciences and Instructional Implications) 教育中的高阶思维 (Higher Order Thinking in Education) 学习与大脑 (Learning and the Brain) 教育心理学高级专题研讨（一） (Advanced Seminar in Educational Psychology: Selected Topics I) 教育心理学高级专题研讨（二） (Advanced Seminar in Educational Psychology: Selected Topics II) 「学习的科学」专题研讨 (Selected Topics in the Science of Learning) 学校辅导与谘商的组织和实践 (Organization and Implementation of School Guidance and Counselling) 「心理社会发展」专题研讨 (Selected Topics in Psychosocial Development) 教育研究中的比较与历史方法 (Comparative-Historical Method in Educational Research) 教育研究中的族志学研究 (Ethnographic Study in Educational Research) 教育研究中的量化方法 (Quantitative Methods in Educational Research) 教育研究中的质化方法 (Qualitative Methods in Educational Research) 教育研究中的量化数据管理分析 (Quantitative Data Management and Analysis in Educational Research) 课室与学校情景中的量化分析 (Quantitative Analysis in Classroom and School Settings) 教育研究中的多元度向与多元归因分析 (Multi-dimensional and Multi-causal Analysis in Educational Research) 教育中的行动研究 (Action Research in Education),,hongkong,香港中文大学_教育学硕士（教育心理）.json
香港中文大学,生物信息学理学硕士（CUHK-Shenzhen）,MSc Bioinformatics (CUHK-Shenzhen),"理科,生物,深圳校区",专业方向: 生物 入学时间: 8月 项目时长: 1.5年 项目学费: 116667人民币/年,申请者需毕业于认可的大学并获得学士学位，成绩不低于80/100，平均绩点不低于3.0/4.0，需要提供B等级证明，或获得等同大学本科的资历,香港中文大学（深圳）生物信息学硕士专业由生命与健康科学学院与数据科学学院共同开设，旨在为学生的跨学科学习、创造性思维、实用问题的解决能力以及对新兴生物技术及其未来发展的敏锐感知奠定坚实的基础，且为学生提供在生物信息领域完整扎实的学习与训练。例如，本科专业为生物、化学或物理的学生，经过本、硕课程跨领域修读和动手操作，将成为生物科技领域不可或缺的顶尖人才，并可在生物信息与生物医学处于领导地位。 生物信息学是一项跨领域的学科，涵括生命科学、物理、化学、统计、计算科学与数据科学。近年来，生物信息已成为现代生物学的基石，用以探索生物系统的生命过程，从生物大数据中挖掘新颖的生物机制，进而研制出疾病诊断与治疗的方案。领域各项突破性进展正在塑造新的生命科学、农业科学、医学研究、医疗系统和生物科技产业。在国家与企业的大力支持下，国内特别是在珠江三角洲的生物科技产业正在快速增长，其中药物开发更是知识密集产业。因此，对具有专业生命科学与药物开发知识和生物信息学能力的专业人才的需求也在迅速增长。,{{ per_lang.name }},生物医学研究中的机器学习 (Machine Learning for Biomedical Research) 生物信息学的理论和算法 (Theories and Algorithms in Bioinformatics ) 计算分子建模与设计 (Computational Molecular Modeling and Design) 基因组信息学 (Genome Informatics) 生物医学研究中的统计方法 (Statistical Methods for Biomedical Research) 计算机辅助药物设计专题研讨 (Topics in Computer-Aided Drug Design) 生物信息算法特论 (Selected Topics in Bioinformatics Algorithms) 计算结构生物学 (Computational Structural Biology) 计算蛋白质组学与功能预测 (Computational Proteomics and Functional Prediction) 生物数据库设计与数据可视化 (Biological Databases Design and Data Visualization) 深度学习 (Deep Learning) 分子药理学及现代药物研发 (Molecular Pharmacology and Modern Drug Design) 专题研究 (Research Project) 深度学习特论 (Selected Topics in Deep Learning ) 物理分子生物学 (Physical Basis of Molecular Biology),,hongkong,香港中文大学_生物信息学理学硕士（CUHK-Shenzhen）.json
香港浸会大学,心理学社会科学硕士（可跨申）,MSocSc Psychology (Conversion),"社科,心理学,人文与社会科学学院",专业方向: 心理学 入学时间: 9月 项目时长: 1年 项目学费: 235440港币/年,持有认可大学颁发的非心理学学士学位 最好已完成心理学入门课程，或修读过心理学相关课程,香港浸会大学心理学社会科学硕士（可跨申）项目专为持有心理学以外学科第一学位的毕业生设计，这个综合课程提供了心理学关键领域的强化培训，同时保持了研究方法和实际应用的坚实基础。虽然课程涵盖了心理学的所有基本领域，以满足当代心理学实践和研究的需求，但学校课程由来自心理学、神经科学、教育、传播和医疗保健等多个学科的杰出教师提供，此外，学校提供健康心理学的专业选修课，通过学校与英国萨里大学建立的合作伙伴关系，在学习期间对健康心理学感兴趣的学生有进一步专业学习从而获得专业实践资格的独特机会。,{{ per_lang.name }},研究方法与数据分析 (Research Methods and Data Analysis) 生物心理学与健康 (Biopsychology and Health) 发展心理学与发展障碍 (Developmental Psychology and Developmental Disorder) 个性与个体差异 (Personality and Individual Differences) 社会心理学 (Social Psychology) 认知心理学与应用 (Cognitive Psychology and Applications) 心理学的历史与当代问题 (Historical and Contemporary Issues in Psychology) 道德发展心理学 (Psychology of Moral Development) 教育心理学 (Educational Psychology) 媒体沟通与心理学 (Media Communication and Psychology) 健康沟通 (Health Communication) 健康促进 (Health Promotion) 儿童与青少年心理健康 (Child and Adolescent Mental Health),,hongkong,香港浸会大学_心理学社会科学硕士（可跨申）.json
香港科技大学,金融科技哲学硕士（HKUST(GZ)）,MPhil Financial Technology (HKUST(GZ)),"商科,金工金数,香港科技大学（广州）",专业方向: 金工金数 入学时间: 9月 项目时长: 2年 项目学费: 150000人民币/年,具有认可机构颁发的学士学位或同等学历,金融科技（FinTech）是近年来发展迅速的重要新兴领域。它是指在移动银行、点对点贷款、数字支付、区块链和加密货币等各种金融服务上应用尖端技术和高级分析，旨在提高服务效率，促进金融创新，提高最终用户满意度。 金融技术研究型硕士（MPhil）课程为学生提供培训和教育，以进行高级研究并充分掌握金融科技的发展。从这些课程毕业的学生应该能够进行和应用高质量的研究，对学术界和/或工业界的金融科技研究和实践产生影响。这些计划侧重于高级研究，旨在将毕业生安置在欣赏研究能力和质量的学术界、研究机构和行业工作中。,{{ per_lang.name }},"金融科技研究 (Financial Technology Research) 金融科技统计方法 (Statistical Methods for Financial Technology) 高级概率论 (Advanced Probability Theory) 优化理论 (Optimization Theory) 机器学习和人工智能 (Machine Learning and Artificial Intelligence) 随机过程 (Stochastic Processes) 企业融资研究 (Research in Corporate Finance) 微观经济理论 (Microeconomic Theory) 资产定价研究 (Research in Asset Pricing) 金融科技附件 (FinTech Attachment) 高级深度学习 (Advanced Deep Learning) 深度强化学习 (Deep Reinforcement Learning) 数据科学中的深度学习 (Deep Learning in Data Science) 高级机器学习 (Advanced Machine Learning) 凸和非凸优化 I (Convex and Nonconvex Optimization I) 区块链中的数据分析与隐私保护 (Data Analysis and Privacy Protection in Blockchain) 技术创新与创业经济学 (Economics of Technology Innovation and Entrepreneurship) 不确定性、信息和决策 (Uncertainty, Information and Decision Making) 文本分析和机器学习 (Text Analysis and Machine Learning) 实验经济学与组织行为学 (Experimental Economics and Organizational Behavior) 碳中和的政策与技术 (Policy and Technology for Carbon Neutrality) 定量社会科学 (Quantitative Social Science)",,hongkong,香港科技大学_金融科技哲学硕士（HKUST(GZ)）.json
香港中文大学,机器人学理学硕士,MSc Robotics,"工科,计算机,工学院",专业方向: 计算机 入学时间: 9月 项目时长: 1年 项目学费: 280000港币/年,1. 毕业于受认可大学并取得学士学位，需要理工科背景，需要提供B等级证明；或 2. 在高等教育机构完成相关课程，并取得相当于相关领域荣誉学位的专业或类似资格；或 3. 具有其他领域学位但具备相关背景，如在机械工程、机电一体化、自动化、能源和环境相关行业有丰富的工作经验。,香港中文大学机器人学理学硕士课程无缝集成了机器人领域的核心原理和尖端技术，学生将具备设计、控制和优化高级机器人系统的技能，同时在自主机器人、医疗机器人、机器人传感、高级控制和具身智能等关键领域培养研究生水平的知识。该课程通过实践项目和独立研究，强调实践技能，弥合机器人和人工智能之间的差距，提高机器人的决策和解决问题的能力。此外，课程还培养必要的专业技能，如技术写作、项目管理和研究方法，通过培养学生对协作、领导和适应能力的积极态度，使学生能够驾驭快速发展的机器人领域，为这些尖端技术带来的挑战和机遇做好准备。,{{ per_lang.name }},基础机器人与系统 (Fundamental Robotics and Systems) 实验室机器人 (Experimental Robotics) 自主移动机器人 (Autonomous Mobile Robots) 医疗机器人 (Medical Robotics) 高级机器人学 (Advanced Robotics) 增材制造设计 (Design for Additive Manufacturing) 控制与工业自动化 (Control and Industrial Automation) 智能材料与结构 (Smart Materials and Structures) 机器人机构与驱动 (Robot Mechanism and Actuation) 微纳米与软机器人 (Micro-nano and Soft Robotics) 机器人学习 (Robot Learning) 无人系统 (Unmanned Systems ) 高级机器人专题 (Special Topics in Advanced Robotics) 商业化与创业 (Commercialization and Entrepreneurship) 理学硕士项目 (M.Sc. Project),,hongkong,香港中文大学_机器人学理学硕士.json
香港浸会大学,公司治理与合规理学硕士,MSc Corporate Governance and Compliance,"商科,管理,商学院",专业方向: 管理 入学时间: 9月 项目时长: 1年 项目学费: 234738港币/年,具有认可大学或类似机构颁发的学士学位，不限专业背景，或具有同等资格（如认可的会计或金融专业资格） 申请者最好具备3年相关工作经验,香港浸会大学公司治理与合规理学硕士项目提供专业培训，传授实用知识，以培养董事（尤其是独立非执行董事）、公司秘书，以及相关领域的专业人士，以加强其组织的可持续性和问责制。这一专业认可的硕士学位可以帮助毕业生在他们的组织中担任高级职务，从管理层到董事会的工作。 开始阶段该项目将提供基础课程，以培养学生对商业运营和环境的良好理解。公司治理不同方面的课程将为学生提供深入的知识和相关的专业技能。强调新出现的主题，包括风险管理和合规，以加强日常的专业作用以及长期治理层面的领导作用。 该课程的毕业生有资格申请完全免除特许管公司治理工会和香港公司治理工会的考试要求。 欢迎对商业（上市和非上市）、公共、慈善和非政府组织的公司治理感兴趣的申请人。,{{ per_lang.name }},"企业会计 (Corporate Accounting) 公司法 (Corporate Law) 战略管理 (Strategic Management) 公司治理与风险管理 (Corporate Governance and Risk Management) 企业管理 (Corporate Administration) 证券监管 (Securities Regulation) 税收 (Taxation) 公司财务与风险管理 (Corporate Finance and Risk Management) 金融法规与犯罪 (Financial Regulations and Crimes) 风险、合规与企业社会责任 (Risk, Compliance and Corporate Social Responsibility)",,hongkong,香港浸会大学_公司治理与合规理学硕士.json
